run,type,module,name,attrname,attrvalue,value
General-14-20240428-16:41:48-11297,runattr,,,datetimef,20240428-164148,
General-14-20240428-16:41:48-11297,runattr,,,experiment,General,
General-14-20240428-16:41:48-11297,runattr,,,inifile,omnetpp.ini,
General-14-20240428-16:41:48-11297,runattr,,,iterationvars,$0=false,
General-14-20240428-16:41:48-11297,runattr,,,iterationvarsd,false,
General-14-20240428-16:41:48-11297,runattr,,,iterationvarsf,false-,
General-14-20240428-16:41:48-11297,runattr,,,measurement,$0=false,
General-14-20240428-16:41:48-11297,runattr,,,network,Supermarket,
General-14-20240428-16:41:48-11297,runattr,,,processid,11297,
General-14-20240428-16:41:48-11297,runattr,,,repetition,4,
General-14-20240428-16:41:48-11297,runattr,,,replication,#4,
General-14-20240428-16:41:48-11297,runattr,,,resultdir,results,
General-14-20240428-16:41:48-11297,runattr,,,runnumber,14,
General-14-20240428-16:41:48-11297,runattr,,,seedset,4,
General-14-20240428-16:41:48-11297,config,,,network,Supermarket,
General-14-20240428-16:41:48-11297,config,,,repeat,10,
General-14-20240428-16:41:48-11297,config,,,seed-set,4,
General-14-20240428-16:41:48-11297,config,,,num-rngs,10,
General-14-20240428-16:41:48-11297,config,,,**.use_random_strategy,false,
General-15-20240428-16:41:48-11297,runattr,,,configname,General,
General-15-20240428-16:41:48-11297,runattr,,,datetime,20240428-16:41:48,
General-15-20240428-16:41:48-11297,runattr,,,datetimef,20240428-164148,
General-15-20240428-16:41:48-11297,runattr,,,experiment,General,
General-15-20240428-16:41:48-11297,runattr,,,inifile,omnetpp.ini,
General-15-20240428-16:41:48-11297,runattr,,,iterationvars,$0=false,
General-15-20240428-16:41:48-11297,runattr,,,iterationvarsd,false,
General-15-20240428-16:41:48-11297,runattr,,,iterationvarsf,false-,
General-15-20240428-16:41:48-11297,runattr,,,measurement,$0=false,
General-15-20240428-16:41:48-11297,runattr,,,network,Supermarket,
General-15-20240428-16:41:48-11297,runattr,,,processid,11297,
General-15-20240428-16:41:48-11297,runattr,,,repetition,5,
General-15-20240428-16:41:48-11297,runattr,,,replication,#5,
General-15-20240428-16:41:48-11297,runattr,,,resultdir,results,
General-15-20240428-16:41:48-11297,runattr,,,runnumber,15,
General-15-20240428-16:41:48-11297,runattr,,,seedset,5,
General-15-20240428-16:41:48-11297,config,,,network,Supermarket,
General-15-20240428-16:41:48-11297,config,,,repeat,10,
General-15-20240428-16:41:48-11297,config,,,seed-set,5,
General-15-20240428-16:41:48-11297,config,,,num-rngs,10,
General-15-20240428-16:41:48-11297,config,,,**.use_random_strategy,false,
General-16-20240428-16:41:48-11318,runattr,,,configname,General,
General-16-20240428-16:41:48-11318,runattr,,,datetime,20240428-16:41:48,
General-16-20240428-16:41:48-11318,runattr,,,datetimef,20240428-164148,
General-16-20240428-16:41:48-11318,runattr,,,experiment,General,
General-16-20240428-16:41:48-11318,runattr,,,inifile,omnetpp.ini,
General-16-20240428-16:41:48-11318,runattr,,,iterationvars,$0=false,
General-16-20240428-16:41:48-11318,runattr,,,iterationvarsd,false,
General-16-20240428-16:41:48-11318,runattr,,,iterationvarsf,false-,
General-16-20240428-16:41:48-11318,runattr,,,measurement,$0=false,
General-16-20240428-16:41:48-11318,runattr,,,network,Supermarket,
General-16-20240428-16:41:48-11318,runattr,,,processid,11318,
General-16-20240428-16:41:48-11318,runattr,,,repetition,6,
General-16-20240428-16:41:48-11318,runattr,,,replication,#6,
General-16-20240428-16:41:48-11318,runattr,,,resultdir,results,
General-16-20240428-16:41:48-11318,runattr,,,runnumber,16,
General-16-20240428-16:41:48-11318,runattr,,,seedset,6,
General-16-20240428-16:41:48-11318,config,,,network,Supermarket,
General-16-20240428-16:41:48-11318,config,,,repeat,10,
General-16-20240428-16:41:48-11318,config,,,seed-set,6,
